Head;Head;Head;Head;Head;Head;;;;;;;;;;;;;;;;;;
X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
-0.000063;0.643187;-0.023613;0.041593;1765770;-0.015804;0.001416;0.692183;0.006830;0.049695;1214867;0.014420;-0.192819;0.181738;-0.932707;-0.087387;0.878708;-0.259377;0.871647;-0.353843;-0.151828;-0.086481;0.871571;0.263543
-0.000257;0.642988;-0.023621;0.041446;1765759;-0.015677;0.001388;0.692199;0.006826;0.049653;1214870;0.014429;-0.192992;0.181539;-0.932731;-0.087627;0.878736;-0.259319;0.871740;-0.353715;-0.151941;-0.086522;0.871538;0.263557
-0.000543;0.642735;-0.023772;0.041281;1765777;-0.015572;0.001348;0.692199;0.006825;0.049624;1214869;0.014453;-0.193003;0.181362;-0.932795;-0.087845;0.878775;-0.259260;0.871703;-0.353820;-0.151964;-0.086589;0.871554;0.263574
-0.000822;0.642506;-0.023950;0.041086;1765769;-0.015488;0.001358;0.692228;0.006831;0.049584;1214860;0.014457;-0.192831;0.181311;-0.932804;-0.088044;0.878780;-0.259194;0.871737;-0.353704;-0.151931;-0.086717;0.871544;0.263619
-0.001034;0.642466;-0.023989;0.040938;1765763;-0.015439;0.001300;0.692219;0.006814;0.049519;1214858;0.014470;-0.192877;0.181298;-0.932772;-0.088196;0.878794;-0.259103;0.871602;-0.353795;-0.152088;-0.086814;0.871531;0.263641
-0.001168;0.642536;-0.024268;0.040808;1765769;-0.015423;0.001359;0.692223;0.006813;0.049512;1214842;0.014450;-0.193057;0.181120;-0.932773;-0.088280;0.878842;-0.258981;0.871645;-0.353693;-0.152170;-0.086839;0.871556;0.263584
-0.001299;0.642572;-0.024364;0.040731;1765785;-0.015444;0.001327;0.692123;0.006823;0.049465;1214843;0.014449;-0.193541;0.180669;-0.932782;-0.088345;0.878888;-0.258895;0.872102;-0.353249;-0.151490;-0.086753;0.871588;0.263438
-0.000828;0.642585;-0.024240;0.040710;1765766;-0.015544;0.001232;0.692106;0.006701;0.049369;1214844;0.014427;-0.193439;0.180819;-0.932744;-0.088394;0.878863;-0.258923;0.872627;-0.352732;-0.150735;-0.086640;0.871528;0.263296
-0.000345;0.642837;-0.024033;0.040711;1765747;-0.015657;0.001135;0.692202;0.006683;0.049274;1214846;0.014458;-0.192852;0.181239;-0.932807;-0.088368;0.878844;-0.259052;0.872821;-0.352530;-0.150070;-0.086508;0.871434;0.263219
-0.000136;0.643265;-0.024117;0.040641;1765735;-0.015756;0.001057;0.692409;0.006624;0.049166;1214837;0.014484;-0.192558;0.181504;-0.932819;-0.088332;0.878813;-0.259145;0.872921;-0.352496;-0.149316;-0.086401;0.871320;0.263204
-0.000069;0.643613;-0.024422;0.040474;1765707;-0.015835;0.001007;0.692653;0.006565;0.049042;1214831;0.014505;-0.192778;0.181456;-0.932831;-0.088306;0.878784;-0.259195;0.873098;-0.352190;-0.148986;-0.086370;0.871213;0.263183
-0.000300;0.643683;-0.024513;0.040263;1765705;-0.015839;0.001008;0.692803;0.006575;0.048955;1214827;0.014520;-0.192670;0.181364;-0.932895;-0.088284;0.878777;-0.259235;0.873027;-0.352486;-0.149154;-0.086465;0.871208;0.263107
-0.000607;0.643454;-0.024608;0.040053;1765712;-0.015786;0.001113;0.692837;0.006674;0.048934;1214826;0.014520;-0.192344;0.181652;-0.932881;-0.088308;0.878772;-0.259257;0.872971;-0.352937;-0.149029;-0.086704;0.871290;0.262964
-0.001001;0.643103;-0.024621;0.039834;1765713;-0.015698;0.001092;0.692794;0.006659;0.048819;1214819;0.014531;-0.192340;0.181685;-0.932877;-0.088387;0.878690;-0.259217;0.872912;-0.353143;-0.149132;-0.087005;0.871347;0.262772
-0.001159;0.642728;-0.024801;0.039646;1765720;-0.015650;0.001088;0.692711;0.006694;0.048730;1214826;0.014539;-0.192552;0.181832;-0.932811;-0.088491;0.878625;-0.259116;0.872891;-0.353339;-0.149341;-0.087353;0.871434;0.262543
-0.001234;0.642553;-0.024815;0.039546;1765734;-0.015601;0.001077;0.692657;0.006623;0.048598;1214828;0.014529;-0.192887;0.181561;-0.932804;-0.088636;0.878619;-0.258929;0.872827;-0.353737;-0.149691;-0.087702;0.871502;0.262305
-0.001180;0.642570;-0.024690;0.039487;1765730;-0.015523;0.001045;0.692607;0.006562;0.048486;1214830;0.014511;-0.193393;0.180915;-0.932838;-0.088907;0.878631;-0.258668;0.872573;-0.354386;-0.150311;-0.088006;0.871487;0.262054
